County,State,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend
Mingo County, West Virginia,575.4,184,stable
Caledonia County, Vermont,438.5,184,falling
Pulaski County, Missouri,484.5,184,falling
Aransas County, Texas,438.6,184,falling
Jefferson Davis Parish, Louisiana,486.2,184,stable
Elko County, Nevada,381.4,184,stable
Morehouse Parish, Louisiana,547.6,184,stable
Carroll County, Arkansas,434.2,183,stable
Adams County, Ohio,514.9,183,stable
Lincoln Parish, Louisiana,408.1,183,stable
Delta County, Colorado,389.6,183,stable
Lincoln County, Oklahoma,402.3,183,stable
Wythe County, Virginia,432.9,183,stable
Staunton City, Virginia,521.4,182,stable
Bell County, Kentucky,499,182,stable
Grayson County, Kentucky,552,182,stable
Monroe County, Georgia,511.2,182,stable
Whitley County, Indiana,424.9,182,stable
Adams County, Wisconsin,481.7,182,stable
Carroll County, Ohio,452.9,182,stable
De Soto Parish, Louisiana,524.7,182,stable
Hardin County, Ohio,504.8,182,stable
Waller County, Texas,396.8,181,stable
Gillespie County, Texas,395.3,181,falling
Fayette County, Ohio,495.1,180,stable
Dunklin County, Missouri,452,180,stable
McDonough County, Illinois,503,179,stable
Garrett County, Maryland,413.8,179,stable
McNairy County, Tennessee,482.5,179,rising
Kittitas County, Washington,360.6,179,stable
Giles County, Tennessee,434.9,178,stable
Vernon County, Wisconsin,433.8,178,stable
Summit County, Utah,442.3,177,rising
Santa Cruz County, Arizona,318.1,177,stable
Clinton County, Indiana,450.4,177,stable
Sumter County, Georgia,491.2,177,stable
Lincoln County, Kentucky,561.5,176,rising
Orange County, Vermont,438.2,176,stable
Antrim County, Michigan,448.5 #  ,176,stable
Haralson County, Georgia,507.2,175,stable
Crook County, Oregon,502.4,175,stable
Garvin County, Oklahoma,506.2,175,stable
Sioux County, Iowa,454.3,175,stable
Caroline County, Virginia,479.7,175,stable
Jim Wells County, Texas,391.4,174,stable
Hocking County, Ohio,464.4,174,stable
Montgomery County, Kentucky,538.5,174,stable
Morton County, North Dakota,494.3,174,stable
Charlevoix County, Michigan,437.6 #  ,174,stable
Boone County, Iowa,495.7,173,stable
Benton County, Missouri,471.8,173,stable
Curry County, New Mexico,363.7,173,falling
Mineral County, West Virginia,450.1,173,falling
Lincoln County, Montana,500.1,172,stable
Oktibbeha County, Mississippi,425,172,stable
Copiah County, Mississippi,480.8,171,falling
Curry County, Oregon,391.2,171,falling
Ouachita County, Arkansas,493.7,171,stable
Lake County, Montana,411.7,171,falling
Charlottesville City, Virginia,422,171,stable
Marion County, Mississippi,522.9,171,stable
Saline County, Illinois,503.8,171,stable
Boone County, West Virginia,549.7,170,stable
Sweetwater County, Wyoming,396.9,170,stable
Trempealeau County, Wisconsin,444.9,170,stable
Lewis County, New York,487.7,170,stable
Poinsett County, Arkansas,547.4,170,stable
Jo Daviess County, Illinois,461.4,170,stable
Stephens County, Georgia,498.5,169,stable
Jones County, Georgia,486.8,169,rising
Ogemaw County, Michigan,478.1 #  ,169,stable
Van Wert County, Ohio,446.1,169,stable
Hardin County, Tennessee,434.5,169,stable
Wayne County, Georgia,489.4,169,stable
Bryan County, Georgia,525.4,168,stable
Martin County, North Carolina,467.3,168,stable
Geneva County, Alabama,450.1,168,stable
Yates County, New York,501.8,168,stable
Tillamook County, Oregon,398,168,falling
Woodford County, Kentucky,507.2,168,falling
Chambers County, Texas,435,168,falling
Hardeman County, Tennessee,502,168,stable
Goochland County, Virginia,508.8,167,stable
Manistee County, Michigan,415.4 #  ,167,falling
Codington County, South Dakota,471.7,166,stable
Crawford County, Missouri,512.9,166,stable
Montgomery County, North Carolina,440.4,166,stable
Osceola County, Michigan,509.2 #  ,166,falling
Henry County, Missouri,525.7,166,stable
Adams County, Indiana,429.1,165,stable
Carroll County, Virginia,362.2,165,stable
Eagle County, Colorado,334.1,165,falling
Sheridan County, Wyoming,400.6,165,stable
Caldwell County, Texas,375.9,165,falling
Erath County, Texas,392.7,165,stable
Caddo County, Oklahoma,462.3,165,stable
Fluvanna County, Virginia,466.9,165,falling
Johnson County, Kentucky,559.1,165,stable
Caswell County, North Carolina,485.3,164,stable
Dillon County, South Carolina,436.5,164,stable
Taos County, New Mexico,323.1,164,falling
Wise County, Virginia,332.5,164,falling
Letcher County, Kentucky,532.6,164,stable
Clay County, Indiana,489,164,stable
Nicholas County, West Virginia,449.8,164,stable
Daviess County, Indiana,437.1,163,stable
Holmes County, Ohio,373.2,163,stable
Brooke County, West Virginia,471,163,stable
Pontotoc County, Mississippi,460.4,163,stable
Putnam County, Georgia,495.5,163,*
Hart County, Georgia,441.9,163,stable
Jennings County, Indiana,492.6,163,stable
Salem City, Virginia,485.7,162,stable
Lee County, Georgia,556.2,162,rising
Henderson County, Tennessee,451.8,162,stable
Mercer County, Kentucky,562.9,162,stable
Henry County, Ohio,457.6,161,stable
Dinwiddie County, Virginia,447.1,161,falling
Glenn County, California,495.8,161,stable
Pacific County, Washington,405.6,161,stable
Washington County, Indiana,466.6,161,stable
Grainger County, Tennessee,495.5,160,stable
Leflore County, Mississippi,505.3,160,rising
Meade County, Kentucky,507.5,160,stable
San Jacinto County, Texas,400.2,160,stable
Plymouth County, Iowa,484.3,160,stable
Wakulla County, Florida,434.5,160,stable
Upshur County, West Virginia,476.7,159,stable
Leelanau County, Michigan,430.3 #  ,159,stable
Bradford County, Florida,457,159,falling
Franklin County, Alabama,421.8,159,stable
Randolph County, Indiana,457.8,159,stable
Rockbridge County, Virginia,439.4,159,stable
Austin County, Texas,400,158,falling
Latah County, Idaho,435.7,158,stable
Palo Pinto County, Texas,415.1,158,falling
Pike County, Alabama,451.3,158,stable
Ripley County, Indiana,447.7,158,stable
Starke County, Indiana,515.8,158,stable
Benton County, Iowa,466.5,157,stable
Cass County, Nebraska,482.8,157,stable
Shelby County, Illinois,488.5,157,stable
Wasco County, Oregon,435.5,157,falling
Cherokee County, Alabama,410.6,157,stable
Houghton County, Michigan,372.5 #  ,157,falling
Rio Arriba County, New Mexico,307.6,157,falling
Overton County, Tennessee,509.9,157,stable
Union County, Mississippi,475.1,157,stable
Clarke County, Alabama,474.3,156,stable
Llano County, Texas,372.2,156,falling
Polk County, North Carolina,412.3,156,stable
Prentiss County, Mississippi,487.8,156,stable
Houston County, Texas,463.2,156,stable
Ohio County, Kentucky,510.5,156,stable
Wells County, Indiana,430,155,falling
Simpson County, Mississippi,460.4,155,stable
Waushara County, Wisconsin,395.1,155,stable
White County, Indiana,467.6,155,stable
Fayette County, Texas,389,155,falling
Morgan County, Missouri,497.2,155,stable
Marlboro County, South Carolina,442.9,154,stable
Decatur County, Indiana,478.2,154,stable
Jasper County, South Carolina,443.6,154,stable
Harrisonburg City, Virginia,393.7,154,stable
Hendry County, Florida,373.9,154,falling
Milam County, Texas,459.2,154,stable
Powhatan County, Virginia,404.3,154,falling
Mason County, Michigan,348.8 #  ,153,falling
Carroll County, Iowa,535.2,153,rising
Kent County, Maryland,463.6,152,stable
Lauderdale County, Tennessee,490.5,152,rising
Scott County, Mississippi,477,152,stable
Chattooga County, Georgia,482.8,152,stable
Peach County, Georgia,487.3,152,stable
Somerset County, Maryland,495.8,152,stable
Waynesboro City, Virginia,541.7,152,stable
Grant County, New Mexico,335.4,152,falling
Meigs County, Ohio,482.3,151,stable
Dickinson County, Iowa,534.9,151,stable
Hampshire County, West Virginia,452.4,151,stable
Howard County, Texas,389,151,falling
Page County, Virginia,446.7,151,stable
Scott County, Indiana,513.8,151,stable
Decatur County, Georgia,455.6,150,stable
Oceana County, Michigan,408.6 #  ,150,stable
Toombs County, Georgia,470.1,150,stable
Juniata County, Pennsylvania,455.8,150,rising
Abbeville County, South Carolina,433.1,150,stable
Tate County, Mississippi,448.4,149,stable
Yazoo County, Mississippi,505.1,149,stable
Dickinson County, Michigan,395.2 #  ,149,stable
Union County, Oregon,439.1,149,stable
Neshoba County, Mississippi,443.4,149,stable
Posey County, Indiana,447.8,149,stable
Graham County, Arizona,389.6,148,falling
Otsego County, Michigan,437.2 #  ,148,stable
Menominee County, Michigan,396.6 #  ,148,stable
Anson County, North Carolina,451.5,148,stable
Audrain County, Missouri,464.9,148,falling
Franklin County, Georgia,500.6,148,rising
Piscataquis County, Maine,508.8,147,stable
Sabine Parish, Louisiana,450.5,147,stable
Lincoln County, West Virginia,523,147,stable
Ashley County, Arkansas,514.6,147,stable
Brookings County, South Dakota,494.9,147,stable
Campbell County, Wyoming,353.4,146,stable
Langlade County, Wisconsin,484.2,146,stable
Barbour County, Alabama,423.4,146,stable
Meriwether County, Georgia,489.7,146,stable
Smyth County, Virginia,321.1,146,falling
Fairfield County, South Carolina,434.7,145,falling
Bremer County, Iowa,449,145,stable
Miller County, Missouri,446.3,145,stable
Polk County, Missouri,367.5,145,falling
Warren County, North Carolina,456.4,145,stable
Hickman County, Tennessee,465.2,144,stable
LaGrange County, Indiana,378.4,144,stable
Van Buren County, Arkansas,515.8,144,rising
Pointe Coupee Parish, Louisiana,473.3,144,stable
Gage County, Nebraska,454.7,144,stable
Grant County, Kentucky,548.4,143,stable
Winston County, Alabama,414.7,143,falling
Ray County, Missouri,475.7,143,stable
Sunflower County, Mississippi,513.4,143,rising
Northampton County, North Carolina,434.4,143,stable
Allen Parish, Louisiana,487.6,142,stable
West Baton Rouge Parish, Louisiana,499.8,142,stable
Manassas City, Virginia,403.6,142,falling
Montour County, Pennsylvania,549.6,142,stable
Grady County, Georgia,454.6,142,stable
Edgefield County, South Carolina,397,142,stable
Texas County, Missouri,387.8,141,falling
Tishomingo County, Mississippi,530.7,141,rising
Breckinridge County, Kentucky,521.4,141,stable
Wyoming County, West Virginia,456.6,141,stable
Pierce County, Wisconsin,306.9,140,stable
Butts County, Georgia,498.4,140,stable
Dawson County, Georgia,449.1,140,stable
Johnson County, Arkansas,448.8,140,stable
Assumption Parish, Louisiana,490,140,stable
Del Norte County, California,402.6,140,falling
Currituck County, North Carolina,433.8,140,stable
Grimes County, Texas,400.1,139,stable
Hopewell City, Virginia,526.3,139,stable
Greene County, Georgia,485.5,139,*
Grenada County, Mississippi,511.4,139,stable
Marion County, Arkansas,475.4,139,stable
Teller County, Colorado,415.1,139,falling
Luna County, New Mexico,416.4,139,stable
Anderson County, Kentucky,535.9,139,stable
Lampasas County, Texas,512.9,139,stable
Madison County, North Carolina,437.7,139,stable
Union Parish, Louisiana,451.1,138,stable
Jersey County, Illinois,465.8,138,stable
Payette County, Idaho,481.6,138,stable
Logan County, Arkansas,455.3,138,stable
Worth County, Georgia,502.8,138,stable
Lamoille County, Vermont,443.2,138,falling
Seminole County, Oklahoma,431,138,falling
Fayette County, Indiana,429.5,137,falling
Owen County, Indiana,472.4,137,stable
Washington County, Iowa,473.6,137,stable
Washington County, Missouri,444.8,137,stable
Bourbon County, Kentucky,517,137,stable
Randolph County, Missouri,454.7,137,stable
McDuffie County, Georgia,522.5,137,stable
Itawamba County, Mississippi,469.9,137,falling
Clinton County, Missouri,506.6,136,stable
Kleberg County, Texas,454.4,136,stable
New Kent County, Virginia,512.4,136,stable
Fayette County, Iowa,464.4,136,stable
Hardin County, Iowa,532.4,136,stable
McIntosh County, Oklahoma,424.2,136,falling
Russell County, Kentucky,564.8,136,stable
St. James Parish, Louisiana,514.8,136,stable
Klickitat County, Washington,414.7,135,stable
Benton County, Tennessee,539.2,135,rising
Clay County, Kentucky,559.1,135,rising
Bandera County, Texas,374.6,135,stable
Plumas County, California,412.1,135,falling
Wayne County, Kentucky,471.2,134,stable
Morgan County, Tennessee,481.2,134,falling
Perry County, Illinois,485.9,134,stable
San Miguel County, New Mexico,340,134,stable
Hardee County, Florida,438.3,133,stable
Jackson County, Iowa,488.5,133,stable
Macon County, Tennessee,480.8,133,stable
Lawrence County, South Dakota,396.4,133,falling
Taylor County, Florida,437.6,133,falling
Westmoreland County, Virginia,462.8,133,stable
Washington County, Nebraska,519,133,stable
Lassen County, California,386.1,133,stable
Jones County, Iowa,468.5,132,stable
Winchester City, Virginia,416.1,132,falling
Randolph County, Alabama,421,132,stable
Coahoma County, Mississippi,489,132,rising
Dukes County, Massachusetts,511.6,132,stable
East Feliciana Parish, Louisiana,512.2,132,stable
Juneau Borough, Alaska,392.1,132,falling
McDowell County, West Virginia,462.6,132,stable
Sharp County, Arkansas,480.9,132,stable
Stark County, North Dakota,418.3,132,stable
Schuyler County, New York,510.1,131,stable
Titus County, Texas,384.2,131,falling
Limestone County, Texas,425.2,131,stable
Jefferson County, Oregon,446.2,131,stable
Lavaca County, Texas,443,131,falling
Yancey County, North Carolina,458.8,130,stable
Iowa County, Wisconsin,426.5,130,stable
Prince Edward County, Virginia,514.4,130,stable
Scott County, Tennessee,492.5,130,stable
Bertie County, North Carolina,440.2,130,stable
Franklin County, Indiana,443.1,130,stable
Wyandot County, Ohio,436.9,130,stable
Elbert County, Georgia,477.3,129,stable
Hale County, Texas,372.9,129,stable
San Juan County, Washington,404.8,129,falling
Franklin Parish, Louisiana,498.9,129,stable
Mitchell County, Georgia,475.9,129,falling
Panola County, Texas,416.8,129,stable
Washington County, Georgia,495.1,129,*
Polk County, Arkansas,427.5,129,stable
Saline County, Missouri,436.1,129,stable
Washburn County, Wisconsin,488.9,128,stable
Benzie County, Michigan,468.8 #  ,128,stable
Malheur County, Oregon,353.9,128,stable
Hertford County, North Carolina,389.1,128,falling
St. Francis County, Arkansas,401.8,128,stable
Saunders County, Nebraska,462.1,128,stable
Sawyer County, Wisconsin,475.1,128,stable
Marion County, Kentucky,551.3,127,stable
Jay County, Indiana,484.9,127,stable
La Paz County, Arizona,306,127,stable
Colorado County, Texas,408.9,127,stable
Fentress County, Tennessee,490.9,127,stable
Hancock County, Illinois,471.4,127,stable
Unicoi County, Tennessee,474.1,127,stable
Conway County, Arkansas,443.8,127,stable
Fayette County, Illinois,432.5,127,stable
Pickens County, Alabama,484.5,127,stable
Bibb County, Alabama,467.3,127,stable
Macon County, Alabama,493.7,127,rising
Hart County, Kentucky,549,126,stable
Rowan County, Kentucky,516.3,126,stable
Chaffee County, Colorado,423.4,126,stable
Carroll County, Indiana,472.3,126,stable
Jackson County, Oklahoma,452,126,stable
Lewis County, West Virginia,536.5,126,stable
Baker County, Florida,418.7,126,falling
Dixie County, Florida,489.9,126,stable
Page County, Iowa,533.5,126,rising
Southampton County, Virginia,483.6,126,stable
Burnett County, Wisconsin,459.8,125,stable
Churchill County, Nevada,403.6,125,falling
Emanuel County, Georgia,464.8,125,stable
Fredericksburg City, Virginia,507.6,125,falling
Henry County, Iowa,485.8,125,stable
Kalkaska County, Michigan,507 #  ,125,stable
Allen County, Kentucky,477.6,125,stable
Washington County, Florida,395.9,125,stable
Buchanan County, Iowa,470.1,124,stable
Custer County, Oklahoma,426.8,124,stable
Humphreys County, Tennessee,479.2,124,stable
Burke County, Georgia,473.7,124,stable
Crawford County, Illinois,471.9,124,stable
Union County, Illinois,496.8,124,stable
Bee County, Texas,392.7,124,stable
Arkansas County, Arkansas,507,124,stable
Davison County, South Dakota,491.3,124,stable
Nelson County, Virginia,514.5,124,stable
Kewaunee County, Wisconsin,439.2,123,stable
Monroe County, Alabama,428.5,123,stable
Montague County, Texas,440.9,123,stable
Tippah County, Mississippi,466.2,123,rising
Harrison County, Kentucky,519.3,123,stable
Lawrence County, Arkansas,551,123,rising
Avery County, North Carolina,484.3,123,stable
DeWitt County, Texas,438.8,123,stable
Morgan County, Colorado,382.2,123,stable
Shelby County, Texas,388.4,123,stable
Clark County, Arkansas,481.3,123,stable
Leake County, Mississippi,463.3,123,stable
Newton County, Mississippi,480,123,stable
Tama County, Iowa,514.7,123,stable
Towns County, Georgia,582.8,123,stable
Uintah County, Utah,402.8,123,stable
Douglas County, Illinois,493.3,122,stable
Garrard County, Kentucky,549.1,122,stable
Meade County, South Dakota,410,122,falling
Rabun County, Georgia,454.3,122,stable
Brunswick County, Virginia,508.8,122,stable
Mahaska County, Iowa,419.4,122,stable
Gem County, Idaho,491.7,122,falling
Orange County, Indiana,462.1,122,stable
Potter County, Pennsylvania,460.4,122,stable
Albany County, Wyoming,380.8,121,stable
Morgan County, Georgia,495.6,121,*
Adair County, Kentucky,506.6,121,stable
Crisp County, Georgia,413.2,121,stable
Price County, Wisconsin,511.4,121,stable
Yell County, Arkansas,445.7,121,stable
Randolph County, Arkansas,510.7,121,stable
Northumberland County, Virginia,442,121,stable
Arenac County, Michigan,494.1 #  ,121,stable
Hutchinson County, Texas,457.6,121,stable
Elmore County, Idaho,467.4,120,falling
Vernon County, Missouri,435,120,stable
Barnwell County, South Carolina,430.9,120,stable
Cedar County, Iowa,489.5,120,stable
Montezuma County, Colorado,328.8,120,falling
Sullivan County, Indiana,453.6,120,stable
Colonial Heights City, Virginia,496.4,120,stable
Grant County, Arkansas,519.6,120,stable
Marengo County, Alabama,455.2,120,stable
Marquette County, Wisconsin,490.5,120,falling
Clay County, Arkansas,553.7,119,rising
Clayton County, Iowa,439.8,119,stable
Jackson County, Wisconsin,435.8,119,stable
Lincoln County, New Mexico,345.5,119,falling
Lawrence County, Kentucky,594.6,119,stable
Bosque County, Texas,415.6,118,stable
De Witt County, Illinois,543.3,118,stable
Spencer County, Indiana,418.9,118,stable
Rockcastle County, Kentucky,554.5,118,rising
Clay County, Mississippi,460,117,stable
Wetzel County, West Virginia,499.3,117,stable
Yankton County, South Dakota,390.7,117,stable
Inyo County, California,420.9,117,stable
Clay County, Iowa,498.4,117,stable
Covington County, Mississippi,500.5,117,stable
Adair County, Missouri,456.3,116,stable
Fulton County, Indiana,428.7,116,falling
Polk County, Tennessee,497.7,116,stable
Pike County, Illinois,521.4,116,rising
Richland Parish, Louisiana,461.5,116,stable
Blaine County, Idaho,425.6,116,stable
Concordia Parish, Louisiana,467.6,116,stable
Floyd County, Iowa,507.4,116,stable
Johnson County, Tennessee,439.2,116,stable
Mercer County, Illinois,511.6,116,stable
Butler County, Alabama,428.7,116,stable
Delaware County, Iowa,505.7,116,stable
Saluda County, South Carolina,432,116,stable
Dawson County, Nebraska,417,116,stable
Uvalde County, Texas,380.8,116,stable
Mariposa County, California,373.1,115,falling
Trinity County, Texas,484.8,115,stable
Wright County, Missouri,464.8,115,stable
Fountain County, Indiana,508.5,115,stable
Taylor County, Wisconsin,420.3,115,stable
Grant Parish, Louisiana,449.5,114,stable
Pamlico County, North Carolina,526.2,114,stable
Poweshiek County, Iowa,445.5,114,stable
Tattnall County, Georgia,406.5,114,falling
Wayne County, Mississippi,447.7,114,stable
Gray County, Texas,421.2,114,falling
Greene County, North Carolina,441.9,114,stable
Piatt County, Illinois,508.9,114,stable
McDonald County, Missouri,429.4,114,stable
Estill County, Kentucky,610.1,113,stable
Mason County, Kentucky,507.9,113,stable
King George County, Virginia,430.1,113,stable
Lee County, South Carolina,496.5,113,stable
Plaquemines Parish, Louisiana,461.3,113,stable
Wayne County, Illinois,466.7,113,stable
Winneshiek County, Iowa,408.3,113,stable
Freestone County, Texas,419.5,113,stable
New Madrid County, Missouri,467,113,stable
Attala County, Mississippi,447.9,113,stable
Elbert County, Colorado,370.8,113,falling
Hempstead County, Arkansas,401.7,113,stable
Adair County, Oklahoma,440.1,112,stable
Asotin County, Washington,327.5,112,falling
Edgar County, Illinois,431.9,112,falling
Paulding County, Ohio,463.1,112,stable
Columbia County, Arkansas,390.3,112,stable
Henry County, Alabama,452.4,112,falling
Morgan County, West Virginia,413.2,112,stable
Phillips County, Arkansas,460.5,112,stable
Union County, Tennessee,453.8,112,falling
Green Lake County, Wisconsin,397.7,111,falling
Eastland County, Texas,416.2,111,stable
Stutsman County, North Dakota,402.1,111,stable
White County, Illinois,530.5,111,stable
Bayfield County, Wisconsin,430,111,stable
Holmes County, Mississippi,554.6,111,stable
Mitchell County, North Carolina,457.7,111,stable
Simpson County, Kentucky,501.3,111,falling
Lamar County, Georgia,488.9,110,stable
Drew County, Arkansas,489.1,110,stable
Spencer County, Kentucky,522.6,110,stable
Calhoun County, Texas,411.6,110,falling
Cibola County, New Mexico,352.6,110,stable
Beadle County, South Dakota,489.8,110,stable
Franklin County, Arkansas,465.7,110,stable
Williams County, North Dakota,379.3,109,falling
Jackson County, Arkansas,485.3,109,stable
Butler County, Iowa,514.2,109,stable
Crawford County, Wisconsin,443.1,109,stable
Idaho County, Idaho,400.3,109,stable
Kossuth County, Iowa,459.6,109,stable
Warren County, Illinois,496.9,109,stable
Wasatch County, Utah,422.7,109,stable
Winston County, Mississippi,431.9,109,stable
Hood River County, Oregon,414.7,109,falling
Bond County, Illinois,486.9,108,stable
McCreary County, Kentucky,520.4,108,stable
Richland County, Illinois,497.1,108,stable
Rush County, Indiana,491.9,108,stable
Tyler County, Texas,341,108,falling
Young County, Texas,432.6,108,falling
Whitman County, Washington,285.9,108,falling
Cross County, Arkansas,501.8,108,stable
Dallas County, Missouri,462,108,stable
Jasper County, Mississippi,470.7,108,stable
Perry County, Missouri,437.2,108,stable
Beckham County, Oklahoma,445.2,108,stable
DeKalb County, Tennessee,414,108,falling
Henry County, Kentucky,536.2,108,stable
Alleghany County and Clifton Forge City, Virginia,432.7,107,stable
Fayette County, Alabama,457.9,107,stable
Clark County, Illinois,484,106,stable
Pike County, Missouri,456.2,106,stable
Presque Isle County, Michigan,431 #  ,106,falling
Russell County, Virginia,268.1,106,falling
Smith County, Tennessee,439,106,stable
Dodge County, Georgia,393.6,106,stable
Hamilton County, Iowa,498.9,106,stable
Richland County, Wisconsin,397,106,stable
Taylor County, West Virginia,449.8,106,stable
Banks County, Georgia,472.4,106,stable
Burleson County, Texas,406.2,106,stable
Chowan County, North Carolina,471.1,106,stable
Leon County, Texas,400,105,stable
Northampton County, Virginia,526.1,105,stable
Park County, Montana,422.8,105,stable
Marshall County, Oklahoma,436.7,105,stable
Berrien County, Georgia,435.7,104,stable
Swain County, North Carolina,548.1,104,stable
Ben Hill County, Georgia,499.4,104,stable
Carroll County, Illinois,458.4,104,stable
Fleming County, Kentucky,564.3,104,stable
Gulf County, Florida,461.1,104,stable
Hampton County, South Carolina,405.2,104,stable
Cooper County, Missouri,478.7,103,stable
Roane County, West Virginia,499.7,103,stable
Teton County, Wyoming,423.7,103,stable
Vermillion County, Indiana,477.3,103,stable
Ashland County, Wisconsin,485.2,103,stable
Claiborne Parish, Louisiana,479.5,103,stable
Pierce County, Georgia,448.7,103,stable
Giles County, Virginia,425.5,103,falling
Haywood County, Tennessee,444.5,103,stable
Nodaway County, Missouri,440.7,103,stable
Clay County, Illinois,541.5,103,stable
Falls County, Texas,460.9,103,stable
Perry County, Indiana,404.9,103,stable
Brown County, Indiana,430.4,103,stable
Gasconade County, Missouri,455.6,103,stable
Pike County, Georgia,480.6,103,stable
Ste. Genevieve County, Missouri,419.3,103,stable
Carbon County, Utah,422.1,102,stable
Casey County, Kentucky,488.6,102,stable
Lamar County, Alabama,500.4,102,stable
Nottoway County, Virginia,483.7,102,stable
Rusk County, Wisconsin,458.5,102,stable
George County, Mississippi,392.3,102,stable
King William County, Virginia,516.1,102,stable
Lewis County, Kentucky,563.7,102,rising
Trigg County, Kentucky,474.1,102,stable
Wayne County, Tennessee,452.4,102,stable
Logan County, Colorado,381.4,102,falling
Patrick County, Virginia,343,102,rising
Pawnee County, Oklahoma,466.8,102,stable
Tipton County, Indiana,488.6,102,stable
Harrison County, Iowa,526.4,102,stable
Hockley County, Texas,403.7,102,stable
Missaukee County, Michigan,485.4 #  ,102,stable
Gilchrist County, Florida,443.4,101,stable
Iowa County, Iowa,471.6,101,stable
Cass County, Iowa,493.9,101,stable
Chickasaw County, Mississippi,469.7,101,stable
Torrance County, New Mexico,475.9,101,stable
Jefferson County, Idaho,406.7,101,stable
Mills County, Iowa,514.9,101,stable
Wayne County, Missouri,473.3,101,stable
Fairfax City, Virginia,373.4,100,stable
Knott County, Kentucky,499.1,100,stable
Brooks County, Georgia,469.5,100,stable
Brantley County, Georgia,449.3,100,rising
Breathitt County, Kentucky,595.6,100,rising
Crawford County, Michigan,426.2 #  ,100,stable
Fulton County, Pennsylvania,478.5,100,stable
Los Alamos County, New Mexico,422,100,falling
Macon County, Missouri,453.8,100,stable
Hughes County, South Dakota,460.7,100,stable
Lee County, Texas,450.5,100,stable
Barbour County, West Virginia,446.8,99,stable
Lancaster County, Virginia,420.4,99,stable
Cook County, Georgia,495.9,99,stable
Ford County, Illinois,538.7,99,stable
Greene County, Illinois,545.2,99,stable
Mason County, Illinois,478.8,99,stable
Stone County, Mississippi,472.5,99,falling
Jackson Parish, Louisiana,457.8,99,stable
Sanders County, Montana,475.2,99,stable
Otoe County, Nebraska,460.6,99,stable
Buena Vista County, Iowa,416.9,98,stable
Perquimans County, North Carolina,428.8,98,stable
Sierra County, New Mexico,404.5,98,stable
Buckingham County, Virginia,421.2,98,stable
Washington County, Illinois,493.7,98,stable
Andrew County, Missouri,427.3,98,stable
Lawrence County, Illinois,466.9,98,stable
Craig County, Oklahoma,483.1,97,stable
Monroe County, West Virginia,471.5,97,stable
Calhoun County, South Carolina,440.1,97,stable
Sequatchie County, Tennessee,480.6,97,stable
Jefferson County, Iowa,394.3,97,stable
Lafayette County, Wisconsin,445.5,97,stable
Dakota County, Nebraska,452.9,96,stable
Morgan County, Ohio,457.9,96,stable
Walthall County, Mississippi,489.8,96,stable
Clarke County, Mississippi,429.2,96,falling
Minidoka County, Idaho,401,96,stable
Appling County, Georgia,419.1,96,stable
Massac County, Illinois,471.8,96,stable
Monroe County, Ohio,455.6,96,rising
O'Brien County, Iowa,459.7,96,stable
Crawford County, Iowa,438.6,96,stable
Crenshaw County, Alabama,512.5,95,rising
Bienville Parish, Louisiana,502,95,stable
Grundy County, Tennessee,498.5,95,stable
Yalobusha County, Mississippi,544.8,95,falling
Choctaw County, Oklahoma,453.2,95,falling
Otero County, Colorado,365.8,95,falling
Mississippi County, Missouri,538.1,94,stable
Bamberg County, South Carolina,459.4,94,stable
Richland County, North Dakota,461.6,94,stable
Oglethorpe County, Georgia,494.1,94,stable
Pendleton County, Kentucky,539,94,stable
Routt County, Colorado,340.2,94,falling
Alcona County, Michigan,433.6 #  ,94,falling
Braxton County, West Virginia,455.4,94,stable
Calhoun County, Mississippi,495.4,94,stable
Greene County, Virginia,402.8,94,falling
Jefferson County, Georgia,457.8,93,*
Cleburne County, Alabama,457.4,93,stable
Jerome County, Idaho,406.3,93,stable
Sevier County, Utah,388.2,93,stable
Shoshone County, Idaho,494.3,93,stable
Washington County, Alabama,423.2,93,falling
Chester County, Tennessee,453.1,93,rising
Union County, South Dakota,507.1,93,stable
Clay County, North Carolina,490.9,93,stable
Middlesex County, Virginia,454.3,93,stable
Powell County, Kentucky,648.2,93,stable
Dent County, Missouri,417.2,93,stable
Jasper County, Georgia,524.5,92,*
West Feliciana Parish, Louisiana,482.1,92,stable
Gogebic County, Michigan,362.2 #  ,92,stable
Kingfisher County, Oklahoma,499.4,92,stable
Marshall County, Illinois,501.4,92,stable
Jones County, Texas,397.7,92,stable
Pemiscot County, Missouri,441.8,92,stable
Vinton County, Ohio,550.6,92,stable
Harrison County, Ohio,399.4,91,stable
Stewart County, Tennessee,487.7,91,stable
McIntosh County, Georgia,401.5,91,stable
Menard County, Illinois,540.6,91,stable
Appomattox County, Virginia,427.3,91,stable
Grayson County, Virginia,371.1,91,stable
Stone County, Arkansas,436.3,91,stable
Bates County, Missouri,399.3,90,stable
Blackford County, Indiana,504.1,90,stable
Trinity County, California,414.2,90,stable
Madison County, Arkansas,427,90,stable
Madison County, Iowa,444.9,90,stable
Shelby County, Iowa,494.2,90,rising
Washington County, North Carolina,463.2,90,stable
Cassia County, Idaho,365,90,stable
Gonzales County, Texas,360.4,90,stable
Parke County, Indiana,400.9,90,stable
Seward County, Nebraska,419.8,90,stable
Union County, Kentucky,513.7,90,stable
